Date, Open, High, Low, Close, Volume
03/04/25, 984460, 995100, 984460, 995100, 190
03/03/25, 996000, 996000, 996000, 996000, 62
02/28/25, 981840, 981840, 981840, 981840, 56
02/27/25, 996000, 996000, 996000, 996000, 10
02/26/25, 1001,000, 1001,000, 996000, 996000, 95
02/25/25, 1025,180, 1025,180, 1025,180, 1025,180, 31
02/24/25, 1022,000, 1022,000, 1021,200, 1021,200, 170
02/21/25, 1002,000, 1012,000, 1001,000, 1012,000, 78
02/20/25, 1002,000, 1002,000, 1002,000, 1002,000, 42
02/19/25, 1003,040, 1005,220, 1000,060, 1002,640, 129
02/18/25, 1011,000, 1011,000, 994400, 994400, 235
02/17/25, 1003,480, 1003,480, 1003,480, 1003,480, 48
02/14/25, 1003,480, 1003,480, 1003,480, 1003,480, 51
02/13/25, 1000,000, 1003,000, 998820, 1001,980, 194
02/12/25, 965940, 965940, 965940, 965940, 45
02/11/25, 967100, 967500, 964680, 964680, 127
02/10/25, 947120, 947120, 945400, 945400, 116
02/07/25, 942060, 943000, 942060, 943000, 141
02/06/25, 959400, 959400, 959400, 959400, 42
02/05/25, 960040, 962240, 956460, 962240, 114
02/04/25, 955580, 955580, 955580, 955580, 62
02/03/25, 972120, 972120, 944140, 950700, 257
01/31/25, 1027,000, 1027,000, 984040, 984720, 210
01/30/25, 1000,900, 1000,900, 991440, 991440, 161
01/29/25, 985100, 985100, 982580, 982580, 850
01/28/25, 974000, 1010,540, 974000, 1005,120, 286
01/27/25, 952320, 972880, 952320, 972140, 162
01/24/25, 935200, 935200, 925000, 925000, 404
01/23/25, 956700, 956700, 956700, 956700, 111
01/22/25, 949580, 949580, 949580, 949580, 195
01/21/25, 997000, 997000, 950100, 950100, 287
01/20/25, 999100, 999100, 999100, 999100, 29
01/17/25, 1006,000, 1006,000, 998940, 998940, 89
01/16/25, 1008,220, 1008,220, 995000, 995000, 135
01/15/25, 1003,000, 1003,000, 1003,000, 1003,000, 19
01/14/25, 1008,280, 1008,280, 1003,000, 1003,000, 95
01/13/25, 1024,400, 1024,400, 1000,720, 1001,240, 270
01/10/25, 1051,300, 1051,300, 1051,300, 1051,300, 49
01/09/25, 1051,300, 1051,300, 1051,300, 1051,300, 14
01/08/25, 1051,300, 1051,300, 1051,300, 1051,300, 47
01/07/25, 1048,000, 1048,000, 1048,000, 1048,000, 47
01/03/25, 1125,360, 1125,360, 1125,360, 1125,360, 40
01/02/25, 1125,360, 1125,360, 1125,360, 1125,360, 37
12/30/24, 1125,360, 1125,360, 1125,360, 1125,360, 9
12/27/24, 1127,000, 1127,000, 1127,000, 1127,000, 25
12/26/24, 1127,000, 1127,000, 1127,000, 1127,000, 11
12/24/24, 1127,000, 1127,000, 1127,000, 1127,000, 127
12/23/24, 1110,100, 1110,240, 1110,100, 1110,100, 21
12/20/24, 1110,240, 1110,240, 1110,100, 1110,100, 168
12/19/24, 1103,620, 1103,620, 1103,620, 1103,620, 17
12/18/24, 1103,620, 1103,620, 1103,620, 1103,620, 17
12/17/24, 1074,500, 1074,500, 1074,500, 1074,500, 17
12/16/24, 1074,500, 1074,500, 1074,500, 1074,500, 23
12/13/24, 1076,000, 1079,460, 1076,000, 1076,000, 6
12/12/24, 1079,460, 1079,460, 1076,000, 1076,000, 35
12/11/24, 1085,600, 1085,600, 1085,600, 1085,600, 319
12/10/24, 1067,660, 1067,660, 1067,660, 1067,660, 8
12/09/24, 1067,600, 1067,600, 1067,600, 1067,600, 21
12/06/24, 1071,780, 1071,780, 1071,780, 1071,780, 20
12/05/24, 1072,000, 1072,000, 1071,780, 1071,780, 47
12/04/24, 1072,000, 1072,000, 1072,000, 1072,000, 28
12/03/24, 1065,080, 1072,000, 1065,080, 1072,000, 163
12/02/24, 1069,080, 1074,620, 1067,200, 1067,200, 126
11/29/24, 1034,020, 1050,740, 1034,020, 1050,740, 232
11/28/24, 980000, 980000, 980000, 980000, 4
11/27/24, 1032,200, 1032,200, 1032,200, 1032,200, 31
11/26/24, 1032,200, 1032,200, 1032,200, 1032,200, 148
11/25/24, 1017,680, 1018,940, 1017,680, 1018,940, 81
11/22/24, 1013,680, 1014,840, 1013,680, 1014,040, 365
11/21/24, 995000, 995000, 995000, 995000, 40
11/20/24, 1008,000, 1008,000, 1008,000, 1008,000, 4
11/19/24, 1008,000, 1008,000, 1008,000, 1008,000, 44
11/18/24, 1002,300, 1002,300, 1002,300, 1002,300, 20
11/15/24, 1002,980, 1002,980, 1002,980, 1002,980, 82
11/14/24, 1011,000, 1019,520, 1011,000, 1019,520, 100
11/13/24, 1002,200, 1016,640, 1002,200, 1011,360, 536
11/12/24, 1000,080, 1000,640, 1000,080, 1000,080, 77
11/08/24, 989000, 989000, 989000, 989000, 27
